Title,director (s),Country,Language (s),Earning,Rating,Overview,Total rewies
Ambulance, Michael Bay,United States,"English , Spanish","$51,309,115",6.1,Two robbers steal an ambulance after their heist goes awry.,66046
Amsterdam, David O. Russell,Japan ,English,"$21,969,464",6.2,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",11786
Barbarian, Zach Cregger,United States,English,"$42,173,631",7.5,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,20116
Beast, Baltasar Kormákur,United States,English,"$36,168,985",5.6,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,20673
Bob's Burgers: The Movie,Loren Bouchard ,United States,"English , German","$34,148,750",7.0,"The Belchers try to save the restaurant from closing as a sinkhole forms in front of it, while the kids try to solve a mystery that could save their family's restaurant.",16426
Bodies Bodies Bodies,Halina Reijn,United States,English,"$13,625,922",6.3,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",23925
Brahmastra Part One: Shiva,Ayan Mukerji,India,"Hindi , Tamil","$50,099,422",5.6,"This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",95631
Bros,Nicholas Stoller,United States,English,"$11,509,793",6.4,Two men with commitment problems attempt a relationship.,14958
Bullet Train,David Leitch,United States,"English , Spanish","$239,220,735",7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,151035
Crimes of the Future,David Cronenberg,Canada,English,"$4,508,050",5.9,"Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",24290
Death on the Nile,Kenneth Branagh,United States,English,"$137,307,235",6.3,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",142563
Detective Conan: The Bride of Halloween,Gosho Aoyama,United States,English,"$73,783,873",7.1,"During the wedding of Takagi and Sato, an assailant breaks and tries to attack Sato. But Takagi protects her while getting injured. The attacker escapes, but the situation is settled, although Sato is rightfully rattled by it all.",527
Doctor Strange in the Multiverse of Madness,Sam Raimi,United States,English,"$955,152,198",7.0,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",397270
Dog,Reid Carolin,Japan,English,"$84,812,876",6.5,Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.,32716
Don't Worry Darling,Olivia Wilde,United States,English,"$83,044,233",6.2,A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.,37087
Downton Abbey: A New Era,Simon Curtis,India,"Telugu , English","$91,979,151",7.4,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,19971
Dragon Ball Super: Super Hero,Tetsuro Kodama,India,Kannada,"$86,562,140",7.2,The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.,8392
Easter Sunday,Jay Chandrasekhar,United States,English,"$13,071,438",5.3,"Set around a family gathering to celebrate Easter Sunday, the comedy is based on Jo Koy's life experiences and stand-up comedy.",1701
Elvis,Baz Luhrmann,Spain,"English , Spanish","$286,040,048",7.4,"The life of American music icon Elvis Presley, from his childhood to becoming a rock and movie star in the 1950s while maintaining a complex relationship with his manager, Colonel Tom Parker.",137545
Everything Everywhere All at Once,Dan Kwan,South Korea,Korean,"$100,840,392",8.1,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.",226293
Fall,Scott Mann,United States,English,"$16,282,247",6.4,"Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.",36592
Fantastic Beasts: The Secrets of Dumbledore,David Yates,China,"Mandarin , English","$405,161,334",6.2,Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.,133002
Father Stu,Rosalind Ross,United States,English,"$21,591,034",6.5,"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",17964
Firestarter,Keith Thomas,United States,English,"$14,889,250",4.6,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.,14954
Halloween Ends,David Gordon,United States,English,"$82,956,780",5.0,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.,36967
Hansan: Rising Dragon,Han-min kim,South Korea,"Korean , Japanese","$54,085,681",6.7,"Follow-up to 2014's The Admiral: Roaring Currents, which explores the historic Battle of Hansan Island.",782
Jackass Forever,Jeff Tremaine,United States,English,"$80,339,260",6.9,"After 11 years, the Jackass crew is back for another crusade.",42959
